Dropout,Early Stopping,Regularization value,Model Acc,Model Loss,Validation Accuracy,Validation Loss
0.1,4,0.5,0.5,0.6931646466255188,0.5,0.6931536197662354
0.1,4,0.1,0.5,0.6931673288345337,0.5,0.6931511759757996
0.1,4,0.01,0.4906666576862335,0.6931742429733276,0.5,0.6931477189064026
0.1,4,0.001,0.9819999933242798,0.16361558437347412,0.8149999976158142,0.7112146019935608
0.1,4,0.0001,0.9670000076293945,0.16361919045448303,0.8180000185966492,0.6086761355400085
0.1,4,1e-05,0.9776666760444641,0.09084821492433548,0.8040000200271606,0.8304944038391113
0.1,4,1e-06,0.5,0.6931629180908203,0.5,0.6931517124176025
0.1,8,False,0.9823333621025085,0.06363710016012192,0.7960000038146973,0.740027904510498
0.1,8,1,0.5,0.6931644082069397,0.5,0.6931592226028442
0.1,8,0.5,0.5,0.6931571364402771,0.5,0.6931535005569458
0.1,8,0.1,0.5,0.6931530237197876,0.5,0.6931478381156921
0.1,8,0.01,0.49399998784065247,0.6931537985801697,0.5,0.6931478381156921
0.1,8,0.001,0.5,0.693153977394104,0.5,0.6931476593017578
0.1,8,0.0001,0.972000002861023,0.14626547694206238,0.7940000295639038,0.7825446724891663
0.1,8,1e-05,0.9850000143051147,0.0559660941362381,0.8169999718666077,0.8410363793373108
0.1,8,1e-06,0.49000000953674316,0.6931692957878113,0.5,0.6931496262550354
0.1,16,False,0.9673333168029785,0.1288866549730301,0.7919999957084656,0.7545806765556335
0.1,16,1,0.5,0.6931656002998352,0.5,0.6931596398353577
0.1,16,0.5,0.5,0.6931588649749756,0.5,0.693152666091919
0.1,16,0.1,0.5,0.6931754350662231,0.5,0.6931489109992981
0.1,16,0.01,0.5,0.693158745765686,0.5,0.6931498646736145
0.1,16,0.001,0.9613333344459534,0.21666757762432098,0.800000011920929,0.7738611102104187
0.1,16,0.0001,0.9776666760444641,0.1027212142944336,0.8019999861717224,0.8137080669403076
0.1,16,1e-05,0.9833333492279053,0.08897630870342255,0.7860000133514404,0.8317840099334717
0.1,16,1e-06,0.9753333330154419,0.09941677749156952,0.7919999957084656,0.899226725101471
0.1,32,False,0.9733333587646484,0.1132950633764267,0.7900000214576721,0.8437181711196899
0.1,32,1,0.4866666793823242,0.693179190158844,0.5,0.6931570768356323
0.1,32,0.5,0.5,0.6931714415550232,0.5,0.6931532621383667
0.1,32,0.1,0.4699999988079071,0.6931847929954529,0.5,0.6931481957435608
0.1,32,0.01,0.49666666984558105,0.693157970905304,0.5,0.6931481957435608
