  input = module(input)
[58/70] mean_loss : 0.07
[58/70] mean_loss : 0.06
[59/70] mean_loss : 0.08
[59/70] mean_loss : 0.08
[60/70] mean_loss : 0.04
[60/70] mean_loss : 0.05
[61/70] mean_loss : 0.04
[61/70] mean_loss : 0.04
[62/70] mean_loss : 0.02
[62/70] mean_loss : 0.03
[63/70] mean_loss : 0.02
[63/70] mean_loss : 0.04
[64/70] mean_loss : 0.03
[64/70] mean_loss : 0.05
[65/70] mean_loss : 0.04
[65/70] mean_loss : 0.05
[66/70] mean_loss : 0.02
[66/70] mean_loss : 0.04
[67/70] mean_loss : 0.02
[67/70] mean_loss : 0.04
[68/70] mean_loss : 0.02
[68/70] mean_loss : 0.03
[69/70] mean_loss : 0.02
[69/70] mean_loss : 0.02
47.599999999999994
Error occurred
[0/70] mean_loss : 3.31
[0/70] mean_loss : 0.68
[1/70] mean_loss : 0.36
[1/70] mean_loss : 0.35
[2/70] mean_loss : 0.36
[2/70] mean_loss : 0.35
[3/70] mean_loss : 0.37
[3/70] mean_loss : 0.35
[4/70] mean_loss : 0.35
[4/70] mean_loss : 0.35
[5/70] mean_loss : 0.35
[5/70] mean_loss : 0.35
[6/70] mean_loss : 0.34
[6/70] mean_loss : 0.35
[7/70] mean_loss : 0.35
[7/70] mean_loss : 0.35
[8/70] mean_loss : 0.35
[8/70] mean_loss : 0.35
[9/70] mean_loss : 0.33
[9/70] mean_loss : 0.35
[10/70] mean_loss : 0.36
[10/70] mean_loss : 0.35
[11/70] mean_loss : 0.36
[11/70] mean_loss : 0.35
[12/70] mean_loss : 0.35
[12/70] mean_loss : 0.35
[13/70] mean_loss : 0.36
[13/70] mean_loss : 0.35
[14/70] mean_loss : 0.35
[14/70] mean_loss : 0.35
[15/70] mean_loss : 0.35
[15/70] mean_loss : 0.35
[16/70] mean_loss : 0.35
[16/70] mean_loss : 0.35
[17/70] mean_loss : 0.34
[17/70] mean_loss : 0.35
[18/70] mean_loss : 0.35
[18/70] mean_loss : 0.35
[19/70] mean_loss : 0.34
[19/70] mean_loss : 0.35
[20/70] mean_loss : 0.35
[20/70] mean_loss : 0.35
[21/70] mean_loss : 0.35
[21/70] mean_loss : 0.35
[22/70] mean_loss : 0.34
[22/70] mean_loss : 0.35
